# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.885118007659912109e+00 0.000000000000000000e+00 1.004015445709228516e+02 2.134361267089843750e+01 3.027377128601074219e+01 1.050307750701904297e+02 3.696516036987304688e+00 5.828584671020507812e+00 2.611767768859863281e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.690140962600708008e+00 5.134895909577608109e-03 3.760000000000000251e-09 1.475000000000000000e+01 1.500000000000000000e+01
1.167238473892211914e+01 1.000000000000000000e+00 1.004672050476074219e+02 2.131080627441406250e+01 3.030657768249511719e+01 1.050636291503906250e+02 3.704395294189453125e+00 5.826286792755126953e+00 2.599619865417480469e+00 0.000000000000000000e+00 4.957199096679687500e-03 4.693752527236938477e+00 4.741004377137869596e-03 3.739999999999999906e-09 1.405000000000000071e+01 1.509999999999999964e+01
1.422588253021240234e+01 2.000000000000000000e+00 1.004015445709228516e+02 2.150778770446777344e+01 3.027377128601074219e+01 1.049979686737060547e+02 3.706693649291992188e+00 5.829241275787353516e+00 2.600276470184326172e+00 9.999999999999999547e-07 5.613803863525390625e-03 4.695886611938476562e+00 4.609580035321414471e-03 3.739999999999999906e-09 1.415000000000000036e+01 1.509999999999999964e+01
1.675242900848388672e+01 3.000000000000000000e+00 1.003358840942382812e+02 2.140927314758300781e+01 3.024091720581054688e+01 1.050636291503906250e+02 3.705380439758300781e+00 5.830226421356201172e+00 2.598963260650634766e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.697856426239013672e+00 5.134895909577608109e-03 3.749999999999999665e-09 1.425000000000000000e+01 1.509999999999999964e+01
1.927298903465270996e+01 4.000000000000000000e+00 1.005000591278076172e+02 2.150778770446777344e+01 3.027377128601074219e+01 1.050636291503906250e+02 3.708006858825683594e+00 5.830226421356201172e+00 2.597321987152099609e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.701796054840087891e+00 5.003662314265966415e-03 3.730000000000000148e-09 1.434999999999999964e+01 1.509999999999999964e+01
2.180554199218750000e+01 5.000000000000000000e+00 1.004015445709228516e+02 2.140927314758300781e+01 3.017525672912597656e+01 1.050307750701904297e+02 3.709976673126220703e+00 5.828913211822509766e+00 2.595023632049560547e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.695229768753051758e+00 5.266320251394063234e-03 3.739999999999999906e-09 1.444999999999999929e+01 1.509999999999999964e+01
2.430911540985107422e+01 6.000000000000000000e+00 1.004015445709228516e+02 2.124514579772949219e+01 3.017525672912597656e+01 1.051620960235595703e+02 3.711289882659912109e+00 5.828913211822509766e+00 2.591412067413330078e+00 0.000000000000000000e+00 3.972053527832031250e-03 4.692439317703247070e+00 5.791636125650256872e-03 3.749999999999999665e-09 1.455000000000000071e+01 1.509999999999999964e+01
2.686066222190856934e+01 7.000000000000000000e+00 1.004343986511230469e+02 2.137646675109863281e+01 3.020811080932617188e+01 1.050636291503906250e+02 3.718184471130371094e+00 5.823988437652587891e+00 2.588785648345947266e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.688827753067016602e+00 5.660211783833801746e-03 3.730000000000000148e-09 1.465000000000000036e+01 1.509999999999999964e+01
2.939522051811218262e+01 8.000000000000000000e+00 1.003358840942382812e+02 2.131080627441406250e+01 3.030657768249511719e+01 1.050307750701904297e+02 3.715229988098144531e+00 5.829897880554199219e+00 2.593053817749023438e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.693916559219360352e+00 5.791636125650256872e-03 3.730000000000000148e-09 1.475000000000000000e+01 1.509999999999999964e+01
3.193280720710754395e+01 9.000000000000000000e+00 1.004672050476074219e+02 2.140927314758300781e+01 3.027377128601074219e+01 1.049979686737060547e+02 3.715886592864990234e+00 5.833181381225585938e+00 2.589770793914794922e+00 0.000000000000000000e+00 2.002239227294921875e-03 4.698841333389282227e+00 5.791636125650256872e-03 3.719999999999999975e-09 1.484999999999999964e+01 1.509999999999999964e+01
3.444934940338134766e+01 1.000000000000000000e+01 1.004343986511230469e+02 2.144212722778320312e+01 3.027377128601074219e+01 1.050636291503906250e+02 3.715229988098144531e+00 5.826943397521972656e+00 2.592725276947021484e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.691618442535400391e+00 6.054294062778353691e-03 3.709999999999999803e-09 1.494999999999999929e+01 1.509999999999999964e+01
3.697588968276977539e+01 1.100000000000000000e+01 1.003687381744384766e+02 2.134361267089843750e+01 3.030657768249511719e+01 1.050964355468750000e+02 3.715229988098144531e+00 5.825958251953125000e+00 2.589770793914794922e+00 9.999999999999999547e-07 3.972053527832031250e-03 4.686365365982055664e+00 6.448376341722905636e-03 3.719999999999999975e-09 1.505000000000000071e+01 1.509999999999999964e+01
3.946445393562316895e+01 1.200000000000000000e+01 1.005000591278076172e+02 2.134361267089843750e+01 3.033943176269531250e+01 1.050307750701904297e+02 3.714244842529296875e+00 5.842045783996582031e+00 2.588457107543945312e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.694737434387207031e+00 7.236350153107196093e-03 3.719999999999999975e-09 1.515000000000000036e+01 1.509999999999999964e+01
4.194305253028869629e+01 1.300000000000000000e+01 1.004343986511230469e+02 2.117948532104492188e+01 3.014245033264160156e+01 1.049979686737060547e+02 3.714901447296142578e+00 5.824973583221435547e+00 2.589770793914794922e+00 0.000000000000000000e+00 3.972053527832031250e-03 4.688006877899169922e+00 7.499008090235292912e-03 3.709999999999999803e-09 1.525000000000000000e+01 1.509999999999999964e+01
4.445659995079040527e+01 1.400000000000000000e+01 1.004343986511230469e+02 2.131080627441406250e+01 3.030657768249511719e+01 1.050964355468750000e+02 3.707678794860839844e+00 5.828256607055664062e+00 2.600276470184326172e+00 0.000000000000000000e+00 7.255077362060546875e-03 4.700647115707397461e+00 6.711034278851002455e-03 3.709999999999999803e-09 1.534999999999999964e+01 1.509999999999999964e+01
