# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 15
# y_centre = 18.25
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.863048791885375977e+00 0.000000000000000000e+00 1.003687381744384766e+02 2.137646675109863281e+01 3.007678985595703125e+01 1.059500694274902344e+02 3.377395153045654297e+00 6.205817222595214844e+00 2.542493343353271484e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.745461940765380859e+00 7.761666027363389730e-03 1.029999999999999959e-09 1.500000000000000000e+01 1.525000000000000000e+01
1.166430807113647461e+01 1.000000000000000000e+00 1.004015445709228516e+02 2.134361267089843750e+01 3.007678985595703125e+01 1.059172153472900391e+02 3.411539554595947266e+00 6.202862262725830078e+00 2.510646820068359375e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.743327856063842773e+00 6.185718404594808817e-03 1.039999999999999924e-09 1.430000000000000071e+01 1.534999999999999964e+01
1.428377676010131836e+01 2.000000000000000000e+00 1.004343986511230469e+02 2.137646675109863281e+01 3.033943176269531250e+01 1.059172153472900391e+02 3.412196159362792969e+00 6.204832077026367188e+00 2.509990215301513672e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.739223957061767578e+00 6.711034278851002455e-03 1.039999999999999924e-09 1.440000000000000036e+01 1.534999999999999964e+01
1.680932259559631348e+01 3.000000000000000000e+00 1.004343986511230469e+02 2.137646675109863281e+01 3.017525672912597656e+01 1.058844089508056641e+02 3.409898281097412109e+00 6.219277858734130859e+00 2.512288570404052734e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.739716291427612305e+00 6.316951999906450510e-03 1.050000000000000096e-09 1.450000000000000000e+01 1.534999999999999964e+01
1.933186960220336914e+01 4.000000000000000000e+00 1.004015445709228516e+02 2.140927314758300781e+01 3.014245033264160156e+01 1.059172153472900391e+02 3.409898281097412109e+00 6.203847408294677734e+00 2.512288570404052734e+00 0.000000000000000000e+00 2.330780029296875000e-03 4.743491888046264648e+00 6.316951999906450510e-03 1.060000000000000062e-09 1.459999999999999964e+01 1.534999999999999964e+01
2.188440012931823730e+01 5.000000000000000000e+00 1.004343986511230469e+02 2.144212722778320312e+01 3.033943176269531250e+01 1.058515548706054688e+02 3.410554885864257812e+00 6.209100246429443359e+00 2.512616634368896484e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.748416662216186523e+00 6.842267874162644148e-03 1.070000000000000027e-09 1.469999999999999929e+01 1.534999999999999964e+01
2.439996957778930664e+01 6.000000000000000000e+00 1.003687381744384766e+02 2.124514579772949219e+01 3.007678985595703125e+01 1.058515548706054688e+02 3.409241676330566406e+00 6.208443641662597656e+00 2.513273715972900391e+00 0.000000000000000000e+00 2.330780029296875000e-03 4.739387989044189453e+00 7.236350153107196093e-03 1.070000000000000027e-09 1.480000000000000071e+01 1.534999999999999964e+01
2.687453055381774902e+01 7.000000000000000000e+00 1.003687381744384766e+02 2.134361267089843750e+01 3.010959625244140625e+01 1.059500694274902344e+02 3.403003692626953125e+00 6.201877593994140625e+00 2.518526554107666016e+00 0.000000000000000000e+00 4.300594329833984375e-03 4.749565839767456055e+00 7.761666027363389730e-03 1.099999999999999924e-09 1.490000000000000036e+01 1.534999999999999964e+01
2.935412931442260742e+01 8.000000000000000000e+00 1.004343986511230469e+02 2.127795219421386719e+01 3.014245033264160156e+01 1.059172153472900391e+02 3.392497539520263672e+00 6.204175472259521484e+00 2.528376102447509766e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.760236024856567383e+00 8.286981901619583368e-03 1.089999999999999958e-09 1.500000000000000000e+01 1.534999999999999964e+01
3.186665320396423340e+01 9.000000000000000000e+00 1.004343986511230469e+02 2.111382484436035156e+01 3.024091720581054688e+01 1.058844089508056641e+02 3.392825603485107422e+00 6.204832077026367188e+00 2.529689311981201172e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.752684831619262695e+00 8.943722117692232132e-03 1.110000000000000096e-09 1.509999999999999964e+01 1.534999999999999964e+01
3.437726068496704102e+01 1.000000000000000000e+01 1.004015445709228516e+02 2.134361267089843750e+01 3.017525672912597656e+01 1.058844089508056641e+02 3.392168998718261719e+00 6.203847408294677734e+00 2.527062892913818359e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.755311250686645508e+00 9.074955713003873825e-03 1.099999999999999924e-09 1.519999999999999929e+01 1.534999999999999964e+01
3.685278248786926270e+01 1.100000000000000000e+01 1.004672050476074219e+02 2.127795219421386719e+01 3.020811080932617188e+01 1.058844089508056641e+02 3.391512393951416016e+00 6.202862262725830078e+00 2.529032707214355469e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.745790243148803711e+00 1.065090333577245474e-02 1.110000000000000096e-09 1.530000000000000071e+01 1.534999999999999964e+01
3.934739756584167480e+01 1.200000000000000000e+01 1.004343986511230469e+02 2.131080627441406250e+01 3.001112937927246094e+01 1.059500694274902344e+02 3.384617805480957031e+00 6.202862262725830078e+00 2.533628940582275391e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.746118545532226562e+00 1.222704170504584908e-02 1.120000000000000061e-09 1.540000000000000036e+01 1.534999999999999964e+01
4.186189866065979004e+01 1.300000000000000000e+01 1.004343986511230469e+02 2.127795219421386719e+01 3.010959625244140625e+01 1.059172153472900391e+02 3.384617805480957031e+00 6.202534198760986328e+00 2.535270690917968750e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.740208864212036133e+00 1.157030148897320032e-02 1.120000000000000061e-09 1.550000000000000000e+01 1.534999999999999964e+01
4.433647465705871582e+01 1.400000000000000000e+01 1.003358840942382812e+02 2.147493362426757812e+01 3.017525672912597656e+01 1.059172153472900391e+02 3.384289741516113281e+00 6.202534198760986328e+00 2.535927295684814453e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.747267484664916992e+00 1.327767345355823636e-02 1.120000000000000061e-09 1.559999999999999964e+01 1.534999999999999964e+01
4.682006072998046875e+01 1.500000000000000000e+01 1.004672050476074219e+02 2.140927314758300781e+01 3.014245033264160156e+01 1.058844089508056641e+02 3.395123958587646484e+00 6.202534198760986328e+00 2.513930320739746094e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.738567352294921875e+00 2.128902665572240949e-02 1.130000000000000027e-09 1.569999999999999929e+01 1.534999999999999964e+01
5.225591421127319336e+01 1.600000000000000000e+01 1.003030776977539062e+02 2.147493362426757812e+01 3.017525672912597656e+01 1.058844089508056641e+02 3.413181304931640625e+00 6.201549053192138672e+00 2.509005546569824219e+00 9.999999999999999547e-07 4.628658294677734375e-03 4.743491888046264648e+00 1.432830520207062364e-02 1.149999999999999958e-09 1.400000000000000000e+01 1.544999999999999929e+01
