# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.871074676513671875e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.127795219421386719e+01 3.024091720581054688e+01 1.049979686737060547e+02 3.467024803161621094e+00 5.836464405059814453e+00 2.829111099243164062e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.598048925399780273e+00 4.872237972449511290e-03 3.329999999999999874e-09 1.475000000000000000e+01 1.500000000000000000e+01
1.168333458900451660e+01 1.000000000000000000e+00 1.004015445709228516e+02 2.137646675109863281e+01 3.040509223937988281e+01 1.050307750701904297e+02 3.469979286193847656e+00 5.843030452728271484e+00 2.816635131835937500e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.580484151840209961e+00 4.609580035321414471e-03 3.309999999999999944e-09 1.405000000000000071e+01 1.509999999999999964e+01
1.422887039184570312e+01 2.000000000000000000e+00 1.004015445709228516e+02 2.150778770446777344e+01 3.027377128601074219e+01 1.049979686737060547e+02 3.472934246063232422e+00 5.846313953399658203e+00 2.811053752899169922e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.604779481887817383e+00 3.953030565753579140e-03 3.309999999999999944e-09 1.415000000000000036e+01 1.509999999999999964e+01
1.675847339630126953e+01 3.000000000000000000e+00 1.004015445709228516e+02 2.127795219421386719e+01 3.017525672912597656e+01 1.050636291503906250e+02 3.483440399169921875e+00 5.848283767700195312e+00 2.802845954895019531e+00 -9.999999999999999547e-07 5.285263061523437500e-03 4.597392320632934570e+00 4.346922098193317652e-03 3.300000000000000185e-09 1.425000000000000000e+01 1.509999999999999964e+01
1.930796861648559570e+01 4.000000000000000000e+00 1.004015445709228516e+02 2.124514579772949219e+01 3.020811080932617188e+01 1.050964355468750000e+02 3.483440399169921875e+00 5.843030452728271484e+00 2.809083938598632812e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.590662002563476562e+00 4.741004377137869596e-03 3.300000000000000185e-09 1.434999999999999964e+01 1.509999999999999964e+01
2.182153201103210449e+01 5.000000000000000000e+00 1.004343986511230469e+02 2.127795219421386719e+01 3.033943176269531250e+01 1.050636291503906250e+02 3.480157375335693359e+00 5.842702388763427734e+00 2.807114124298095703e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.612330675125122070e+00 4.609580035321414471e-03 3.279999999999999840e-09 1.444999999999999929e+01 1.509999999999999964e+01
2.433509850502014160e+01 6.000000000000000000e+00 1.003687381744384766e+02 2.144212722778320312e+01 3.020811080932617188e+01 1.050636291503906250e+02 3.481470584869384766e+00 5.842373847961425781e+00 2.805144309997558594e+00 0.000000000000000000e+00 5.613803863525390625e-03 4.590497732162475586e+00 4.741004377137869596e-03 3.279999999999999840e-09 1.455000000000000071e+01 1.509999999999999964e+01
2.684666037559509277e+01 7.000000000000000000e+00 1.003687381744384766e+02 2.137646675109863281e+01 3.027377128601074219e+01 1.050636291503906250e+02 3.471621036529541016e+00 5.852880001068115234e+00 2.804816246032714844e+00 0.000000000000000000e+00 3.643989562988281250e-03 4.597556591033935547e+00 5.134895909577608109e-03 3.290000000000000013e-09 1.465000000000000036e+01 1.509999999999999964e+01
2.937526583671569824e+01 8.000000000000000000e+00 1.003030776977539062e+02 2.124514579772949219e+01 3.027377128601074219e+01 1.050307750701904297e+02 3.468009471893310547e+00 5.853208541870117188e+00 2.807442665100097656e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.597884893417358398e+00 5.266320251394063234e-03 3.279999999999999840e-09 1.475000000000000000e+01 1.509999999999999964e+01
3.189779067039489746e+01 9.000000000000000000e+00 1.004672050476074219e+02 2.127795219421386719e+01 3.027377128601074219e+01 1.051620960235595703e+02 3.467681407928466797e+00 5.853865146636962891e+00 2.808099269866943359e+00 0.000000000000000000e+00 4.628658294677734375e-03 4.592796087265014648e+00 5.528978188522160053e-03 3.290000000000000013e-09 1.484999999999999964e+01 1.509999999999999964e+01
