# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.889064311981201172e+00 0.000000000000000000e+00 1.002374172210693359e+02 2.111382484436035156e+01 3.017525672912597656e+01 1.049979686737060547e+02 1.213151454925537109e+00 6.247841358184814453e+00 4.648953914642333984e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.961284637451171875e+00 4.478346440009772778e-03 8.439999999999999806e-10 1.475000000000000000e+01 1.500000000000000000e+01
1.168833661079406738e+01 1.000000000000000000e+00 1.002374172210693359e+02 2.127795219421386719e+01 3.033943176269531250e+01 1.049323081970214844e+02 1.213479518890380859e+00 6.245214939117431641e+00 4.648625373840332031e+00 9.999999999999999547e-07 3.972053527832031250e-03 3.943227529525756836e+00 3.953030565753579140e-03 8.409999999999999910e-10 1.405000000000000071e+01 1.509999999999999964e+01
1.423688435554504395e+01 2.000000000000000000e+00 1.004015445709228516e+02 2.117948532104492188e+01 3.024091720581054688e+01 1.049979686737060547e+02 1.212822914123535156e+00 6.250467777252197266e+00 4.648297309875488281e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.947495460510253906e+00 3.427714691497385502e-03 8.449999999999999771e-10 1.415000000000000036e+01 1.509999999999999964e+01
1.676342177391052246e+01 3.000000000000000000e+00 1.003358840942382812e+02 2.140927314758300781e+01 3.024091720581054688e+01 1.049323081970214844e+02 1.212166309356689453e+00 6.247841358184814453e+00 4.647640705108642578e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.946182250976562500e+00 3.821606223937124014e-03 8.360000000000000082e-10 1.425000000000000000e+01 1.509999999999999964e+01
1.929297733306884766e+01 4.000000000000000000e+00 1.003358840942382812e+02 2.121229171752929688e+01 3.040509223937988281e+01 1.049651145935058594e+02 1.212166309356689453e+00 6.246528148651123047e+00 4.648625373840332031e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.949793815612792969e+00 3.821606223937124014e-03 8.399999999999999944e-10 1.434999999999999964e+01 1.509999999999999964e+01
2.182154846191406250e+01 5.000000000000000000e+00 1.004015445709228516e+02 2.121229171752929688e+01 3.010959625244140625e+01 1.048994541168212891e+02 1.211509704589843750e+00 6.245871543884277344e+00 4.650267124176025391e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.950122117996215820e+00 4.346922098193317652e-03 8.389999999999999979e-10 1.444999999999999929e+01 1.509999999999999964e+01
2.435510230064392090e+01 6.000000000000000000e+00 1.003358840942382812e+02 2.124514579772949219e+01 3.024091720581054688e+01 1.049323081970214844e+02 1.212166309356689453e+00 6.250139713287353516e+00 4.649610519409179688e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.942899227142333984e+00 3.821606223937124014e-03 8.469999999999999702e-10 1.455000000000000071e+01 1.509999999999999964e+01
2.687266278266906738e+01 7.000000000000000000e+00 1.004015445709228516e+02 2.117948532104492188e+01 3.027377128601074219e+01 1.050636291503906250e+02 1.214792728424072266e+00 6.247513294219970703e+00 4.648297309875488281e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.944212436676025391e+00 4.215688502881675959e-03 8.350000000000000117e-10 1.465000000000000036e+01 1.509999999999999964e+01
2.941419410705566406e+01 8.000000000000000000e+00 1.003687381744384766e+02 2.127795219421386719e+01 3.027377128601074219e+01 1.050307750701904297e+02 1.213808059692382812e+00 6.247841358184814453e+00 4.647312164306640625e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.952420234680175781e+00 4.215688502881675959e-03 8.330000000000000186e-10 1.475000000000000000e+01 1.509999999999999964e+01
3.194679903984069824e+01 9.000000000000000000e+00 1.003030776977539062e+02 2.121229171752929688e+01 3.010959625244140625e+01 1.049979686737060547e+02 1.213479518890380859e+00 6.243901729583740234e+00 4.646655559539794922e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.945197343826293945e+00 4.215688502881675959e-03 8.380000000000000013e-10 1.484999999999999964e+01 1.509999999999999964e+01
3.446632361412048340e+01 1.000000000000000000e+01 1.003358840942382812e+02 2.117948532104492188e+01 3.033943176269531250e+01 1.049651145935058594e+02 1.215449810028076172e+00 6.261630535125732422e+00 4.647312164306640625e+00 9.999999999999999547e-07 3.643989562988281250e-03 3.943391561508178711e+00 4.478346440009772778e-03 8.409999999999999910e-10 1.494999999999999929e+01 1.509999999999999964e+01
3.701285290718078613e+01 1.100000000000000000e+01 1.003030776977539062e+02 2.131080627441406250e+01 3.024091720581054688e+01 1.049323081970214844e+02 1.212494850158691406e+00 6.246856212615966797e+00 4.647312164306640625e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.940765142440795898e+00 4.478346440009772778e-03 8.409999999999999910e-10 1.505000000000000071e+01 1.509999999999999964e+01
3.953541135787963867e+01 1.200000000000000000e+01 1.003687381744384766e+02 2.121229171752929688e+01 3.017525672912597656e+01 1.049651145935058594e+02 1.213479518890380859e+00 6.247184753417968750e+00 4.648953914642333984e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.944704771041870117e+00 5.134895909577608109e-03 8.439999999999999806e-10 1.515000000000000036e+01 1.509999999999999964e+01
4.200705075263977051e+01 1.300000000000000000e+01 1.003358840942382812e+02 2.127795219421386719e+01 3.017525672912597656e+01 1.049651145935058594e+02 1.215121269226074219e+00 6.245871543884277344e+00 4.645342350006103516e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.947495460510253906e+00 4.609580035321414471e-03 8.330000000000000186e-10 1.525000000000000000e+01 1.509999999999999964e+01
4.448659563064575195e+01 1.400000000000000000e+01 1.003687381744384766e+02 2.127795219421386719e+01 3.024091720581054688e+01 1.049979686737060547e+02 1.214136123657226562e+00 6.247513294219970703e+00 4.645670890808105469e+00 0.000000000000000000e+00 5.285263061523437500e-03 3.951599359512329102e+00 4.609580035321414471e-03 8.370000000000000048e-10 1.534999999999999964e+01 1.509999999999999964e+01
