# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.875078439712524414e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.134361267089843750e+01 3.024091720581054688e+01 1.050636291503906250e+02 2.913159370422363281e+00 5.931018829345703125e+00 3.277587890625000000e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.394330501556396484e+00 4.609580035321414471e-03 2.580000000000000190e-09 1.475000000000000000e+01 1.500000000000000000e+01
1.164136457443237305e+01 1.000000000000000000e+00 1.004015445709228516e+02 2.144212722778320312e+01 3.033943176269531250e+01 1.050636291503906250e+02 2.915457725524902344e+00 5.931018829345703125e+00 3.276602745056152344e+00 9.999999999999999547e-07 3.643989562988281250e-03 4.397613525390625000e+00 4.215688502881675959e-03 2.570000000000000017e-09 1.405000000000000071e+01 1.509999999999999964e+01
1.415890979766845703e+01 2.000000000000000000e+00 1.003687381744384766e+02 2.124514579772949219e+01 3.024091720581054688e+01 1.050307750701904297e+02 2.913487911224365234e+00 5.932332038879394531e+00 3.275289535522460938e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.395972013473510742e+00 3.953030565753579140e-03 2.570000000000000017e-09 1.415000000000000036e+01 1.509999999999999964e+01
1.668951559066772461e+01 3.000000000000000000e+00 1.003687381744384766e+02 2.111382484436035156e+01 3.017525672912597656e+01 1.051292896270751953e+02 2.917427539825439453e+00 5.931018829345703125e+00 3.275289535522460938e+00 9.999999999999999547e-07 3.972053527832031250e-03 4.399255037307739258e+00 4.872237972449511290e-03 2.570000000000000017e-09 1.425000000000000000e+01 1.509999999999999964e+01
1.921703648567199707e+01 4.000000000000000000e+00 1.003358840942382812e+02 2.137646675109863281e+01 3.017525672912597656e+01 1.050964355468750000e+02 2.917427539825439453e+00 5.931675434112548828e+00 3.272663116455078125e+00 0.000000000000000000e+00 3.972053527832031250e-03 4.403358936309814453e+00 4.478346440009772778e-03 2.559999999999999845e-09 1.434999999999999964e+01 1.509999999999999964e+01
2.173758006095886230e+01 5.000000000000000000e+00 1.003687381744384766e+02 2.140927314758300781e+01 3.027377128601074219e+01 1.050636291503906250e+02 2.918412685394287109e+00 5.929705619812011719e+00 3.270693302154541016e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.396136045455932617e+00 4.872237972449511290e-03 2.550000000000000086e-09 1.444999999999999929e+01 1.509999999999999964e+01
2.426813387870788574e+01 6.000000000000000000e+00 1.004672050476074219e+02 2.134361267089843750e+01 3.024091720581054688e+01 1.050636291503906250e+02 2.919725894927978516e+00 5.931675434112548828e+00 3.270364761352539062e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.399583339691162109e+00 5.003662314265966415e-03 2.559999999999999845e-09 1.455000000000000071e+01 1.509999999999999964e+01
2.681267952919006348e+01 7.000000000000000000e+00 1.004015445709228516e+02 2.131080627441406250e+01 3.010959625244140625e+01 1.050307750701904297e+02 2.918412685394287109e+00 5.931018829345703125e+00 3.270036697387695312e+00 9.999999999999999547e-07 5.285263061523437500e-03 4.389241456985473633e+00 5.003662314265966415e-03 2.570000000000000017e-09 1.465000000000000036e+01 1.509999999999999964e+01
2.933129787445068359e+01 8.000000000000000000e+00 1.003358840942382812e+02 2.117948532104492188e+01 3.014245033264160156e+01 1.050636291503906250e+02 2.918740749359130859e+00 5.932332038879394531e+00 3.270364761352539062e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.391375541687011719e+00 5.134895909577608109e-03 2.570000000000000017e-09 1.475000000000000000e+01 1.509999999999999964e+01
3.180488491058349609e+01 9.000000000000000000e+00 1.003030776977539062e+02 2.147493362426757812e+01 3.024091720581054688e+01 1.050307750701904297e+02 2.914472579956054688e+00 5.938241481781005859e+00 3.269708156585693359e+00 0.000000000000000000e+00 2.330780029296875000e-03 4.393017053604125977e+00 4.872237972449511290e-03 2.559999999999999845e-09 1.484999999999999964e+01 1.509999999999999964e+01
3.428742575645446777e+01 1.000000000000000000e+01 1.003687381744384766e+02 2.140927314758300781e+01 3.027377128601074219e+01 1.051292896270751953e+02 2.913815975189208984e+00 5.935286998748779297e+00 3.268066406250000000e+00 9.999999999999999547e-07 4.957199096679687500e-03 4.395151138305664062e+00 5.134895909577608109e-03 2.550000000000000086e-09 1.494999999999999929e+01 1.509999999999999964e+01
3.682297420501708984e+01 1.100000000000000000e+01 1.004015445709228516e+02 2.137646675109863281e+01 3.024091720581054688e+01 1.051620960235595703e+02 2.914144515991210938e+00 5.937913417816162109e+00 3.269051551818847656e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.387928247451782227e+00 4.741004377137869596e-03 2.559999999999999845e-09 1.505000000000000071e+01 1.509999999999999964e+01
3.933952879905700684e+01 1.200000000000000000e+01 1.004015445709228516e+02 2.134361267089843750e+01 3.030657768249511719e+01 1.050636291503906250e+02 2.916442871093750000e+00 5.937913417816162109e+00 3.268723011016845703e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.392360448837280273e+00 5.003662314265966415e-03 2.559999999999999845e-09 1.515000000000000036e+01 1.509999999999999964e+01
4.185710024833679199e+01 1.300000000000000000e+01 1.003687381744384766e+02 2.121229171752929688e+01 3.010959625244140625e+01 1.050307750701904297e+02 2.912502765655517578e+00 5.938241481781005859e+00 3.271349906921386719e+00 9.999999999999999547e-07 2.330780029296875000e-03 4.394330501556396484e+00 4.872237972449511290e-03 2.559999999999999845e-09 1.525000000000000000e+01 1.509999999999999964e+01
4.434068131446838379e+01 1.400000000000000000e+01 1.003358840942382812e+02 2.127795219421386719e+01 3.024091720581054688e+01 1.050636291503906250e+02 2.908234596252441406e+00 5.940211296081542969e+00 3.270693302154541016e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.395315408706665039e+00 5.528978188522160053e-03 2.559999999999999845e-09 1.534999999999999964e+01 1.509999999999999964e+01
4.682624483108520508e+01 1.500000000000000000e+01 1.002702236175537109e+02 2.144212722778320312e+01 3.024091720581054688e+01 1.050636291503906250e+02 2.905936717987060547e+00 5.941196441650390625e+00 3.275289535522460938e+00 9.999999999999999547e-07 3.643989562988281250e-03 4.399091005325317383e+00 5.134895909577608109e-03 2.559999999999999845e-09 1.544999999999999929e+01 1.509999999999999964e+01
