# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.880080699920654297e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.101531028747558594e+01 3.033943176269531250e+01 1.050307750701904297e+02 9.787354469299316406e-01 6.210085391998291016e+00 4.906351566314697266e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.893980264663696289e+00 4.872237972449511290e-03 1.699999999999999920e-09 1.475000000000000000e+01 1.500000000000000000e+01
1.169731044769287109e+01 1.000000000000000000e+00 1.003030776977539062e+02 2.114663124084472656e+01 3.024091720581054688e+01 1.050307750701904297e+02 9.813618659973144531e-01 6.209756851196289062e+00 4.908978462219238281e+00 -9.999999999999999547e-07 2.987384796142578125e-03 3.897099256515502930e+00 3.033632412552833557e-03 1.699999999999999920e-09 1.405000000000000071e+01 1.509999999999999964e+01
1.428583097457885742e+01 2.000000000000000000e+00 1.002702236175537109e+02 2.131080627441406250e+01 3.030657768249511719e+01 1.050636291503906250e+02 9.807052612304687500e-01 6.211726665496826172e+00 4.906680107116699219e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.894801139831542969e+00 3.427714691497385502e-03 1.699999999999999920e-09 1.415000000000000036e+01 1.509999999999999964e+01
1.685336446762084961e+01 3.000000000000000000e+00 1.003030776977539062e+02 2.124514579772949219e+01 3.024091720581054688e+01 1.050307750701904297e+02 9.797205924987792969e-01 6.214025020599365234e+00 4.907993316650390625e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.900218248367309570e+00 3.558948286809027195e-03 1.710000000000000092e-09 1.425000000000000000e+01 1.509999999999999964e+01
1.936992692947387695e+01 4.000000000000000000e+00 1.003030776977539062e+02 2.108097076416015625e+01 3.017525672912597656e+01 1.050307750701904297e+02 9.803771972656250000e-01 6.210741996765136719e+00 4.908321857452392578e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.900218248367309570e+00 3.690372628625482321e-03 1.699999999999999920e-09 1.434999999999999964e+01 1.509999999999999964e+01
2.184351277351379395e+01 5.000000000000000000e+00 1.004343986511230469e+02 2.098250389099121094e+01 3.030657768249511719e+01 1.050964355468750000e+02 9.803771972656250000e-01 6.206145763397216797e+00 4.905038356781005859e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.903008937835693359e+00 4.215688502881675959e-03 1.699999999999999920e-09 1.444999999999999929e+01 1.509999999999999964e+01
2.432209682464599609e+01 6.000000000000000000e+00 1.004015445709228516e+02 2.124514579772949219e+01 3.027377128601074219e+01 1.050636291503906250e+02 9.787354469299316406e-01 6.212711811065673828e+00 4.907993316650390625e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.893816232681274414e+00 5.134895909577608109e-03 1.710000000000000092e-09 1.455000000000000071e+01 1.509999999999999964e+01
2.684565472602844238e+01 7.000000000000000000e+00 1.002374172210693359e+02 2.117948532104492188e+01 3.014245033264160156e+01 1.050307750701904297e+02 9.767656326293945312e-01 6.210741996765136719e+00 4.908321857452392578e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.897591829299926758e+00 4.741004377137869596e-03 1.710000000000000092e-09 1.465000000000000036e+01 1.509999999999999964e+01
2.938520359992980957e+01 8.000000000000000000e+00 1.003687381744384766e+02 2.114663124084472656e+01 3.027377128601074219e+01 1.049651145935058594e+02 9.780788421630859375e-01 6.212383270263671875e+00 4.908321857452392578e+00 0.000000000000000000e+00 2.002239227294921875e-03 3.898576736450195312e+00 5.134895909577608109e-03 1.710000000000000092e-09 1.475000000000000000e+01 1.509999999999999964e+01
3.190777254104614258e+01 9.000000000000000000e+00 1.003687381744384766e+02 2.121229171752929688e+01 3.017525672912597656e+01 1.050307750701904297e+02 9.774222373962402344e-01 6.211070060729980469e+00 4.908321857452392578e+00 9.999999999999999547e-07 4.628658294677734375e-03 3.899069309234619141e+00 5.134895909577608109e-03 1.710000000000000092e-09 1.484999999999999964e+01 1.509999999999999964e+01
3.443736910820007324e+01 1.000000000000000000e+01 1.003030776977539062e+02 2.124514579772949219e+01 3.020811080932617188e+01 1.050307750701904297e+02 9.770936965942382812e-01 6.210741996765136719e+00 4.908978462219238281e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.900874853134155273e+00 5.923060467466711998e-03 1.699999999999999920e-09 1.494999999999999929e+01 1.509999999999999964e+01
3.696487402915954590e+01 1.100000000000000000e+01 1.003687381744384766e+02 2.117948532104492188e+01 3.030657768249511719e+01 1.050964355468750000e+02 9.767656326293945312e-01 6.212383270263671875e+00 4.907008171081542969e+00 9.999999999999999547e-07 4.300594329833984375e-03 3.905635595321655273e+00 5.266320251394063234e-03 1.699999999999999920e-09 1.505000000000000071e+01 1.509999999999999964e+01
3.951842713356018066e+01 1.200000000000000000e+01 1.002702236175537109e+02 2.117948532104492188e+01 3.027377128601074219e+01 1.050636291503906250e+02 9.767656326293945312e-01 6.212383270263671875e+00 4.908321857452392578e+00 0.000000000000000000e+00 2.658843994140625000e-03 3.894965410232543945e+00 5.266320251394063234e-03 1.699999999999999920e-09 1.515000000000000036e+01 1.509999999999999964e+01
4.205696296691894531e+01 1.300000000000000000e+01 1.002702236175537109e+02 2.098250389099121094e+01 3.007678985595703125e+01 1.049651145935058594e+02 9.774222373962402344e-01 6.214025020599365234e+00 4.908321857452392578e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.908097982406616211e+00 5.134895909577608109e-03 1.699999999999999920e-09 1.525000000000000000e+01 1.509999999999999964e+01
4.458452320098876953e+01 1.400000000000000000e+01 1.003030776977539062e+02 2.134361267089843750e+01 3.027377128601074219e+01 1.050964355468750000e+02 9.770936965942382812e-01 6.219277858734130859e+00 4.908321857452392578e+00 0.000000000000000000e+00 4.300594329833984375e-03 3.896606922149658203e+00 5.266320251394063234e-03 1.699999999999999920e-09 1.534999999999999964e+01 1.509999999999999964e+01
4.712208414077758789e+01 1.500000000000000000e+01 1.002702236175537109e+02 2.121229171752929688e+01 3.037223815917968750e+01 1.050307750701904297e+02 9.747958183288574219e-01 6.210085391998291016e+00 4.909635066986083984e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.897427558898925781e+00 5.003662314265966415e-03 1.699999999999999920e-09 1.544999999999999929e+01 1.509999999999999964e+01
5.257097196578979492e+01 1.600000000000000000e+01 1.003687381744384766e+02 2.114663124084472656e+01 3.043789863586425781e+01 1.050964355468750000e+02 9.793920516967773438e-01 6.211398601531982422e+00 4.907665252685546875e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.904158115386962891e+00 3.165056754369288683e-03 1.689999999999999954e-09 1.375000000000000000e+01 1.519999999999999929e+01
5.509053039550781250e+01 1.700000000000000000e+01 1.003358840942382812e+02 2.114663124084472656e+01 3.020811080932617188e+01 1.050636291503906250e+02 9.790635108947753906e-01 6.213040351867675781e+00 4.906351566314697266e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.900710821151733398e+00 2.508316538296639919e-03 1.710000000000000092e-09 1.384999999999999964e+01 1.519999999999999929e+01
5.761508989334106445e+01 1.800000000000000000e+01 1.003030776977539062e+02 2.124514579772949219e+01 3.017525672912597656e+01 1.050307750701904297e+02 9.777503013610839844e-01 6.211726665496826172e+00 4.909306526184082031e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.891353845596313477e+00 3.296290349680930376e-03 1.699999999999999920e-09 1.394999999999999929e+01 1.519999999999999929e+01
6.014864110946655273e+01 1.900000000000000000e+01 1.003030776977539062e+02 2.121229171752929688e+01 3.027377128601074219e+01 1.049979686737060547e+02 9.780788421630859375e-01 6.215338230133056641e+00 4.907008171081542969e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.897920131683349609e+00 2.902208070736378431e-03 1.689999999999999954e-09 1.405000000000000071e+01 1.519999999999999929e+01
