# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.899057149887084961e+00 0.000000000000000000e+00 1.004015445709228516e+02 2.121229171752929688e+01 3.027377128601074219e+01 1.050307750701904297e+02 2.008327007293701172e+00 6.060702800750732422e+00 4.040588855743408203e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.105414390563964844e+00 4.215688502881675959e-03 1.959999999999999849e-09 1.475000000000000000e+01 1.500000000000000000e+01
1.169733119010925293e+01 1.000000000000000000e+00 1.003358840942382812e+02 2.124514579772949219e+01 3.024091720581054688e+01 1.050307750701904297e+02 2.007342338562011719e+00 6.056762695312500000e+00 4.042230129241943359e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.100982189178466797e+00 4.084264161065220833e-03 1.970000000000000021e-09 1.405000000000000071e+01 1.509999999999999964e+01
1.423086786270141602e+01 2.000000000000000000e+00 1.003687381744384766e+02 2.121229171752929688e+01 3.007678985595703125e+01 1.049979686737060547e+02 2.008983612060546875e+00 6.053479671478271484e+00 4.038947105407714844e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.093595027923583984e+00 3.953030565753579140e-03 1.959999999999999849e-09 1.415000000000000036e+01 1.509999999999999964e+01
1.676342225074768066e+01 3.000000000000000000e+00 1.003687381744384766e+02 2.111382484436035156e+01 3.024091720581054688e+01 1.050307750701904297e+02 2.010953426361083984e+00 6.057419300079345703e+00 4.038618564605712891e+00 0.000000000000000000e+00 3.643989562988281250e-03 4.102787971496582031e+00 3.821606223937124014e-03 1.950000000000000090e-09 1.425000000000000000e+01 1.509999999999999964e+01
1.932297301292419434e+01 4.000000000000000000e+00 1.004343986511230469e+02 2.134361267089843750e+01 3.027377128601074219e+01 1.050964355468750000e+02 2.011610031127929688e+00 6.068582057952880859e+00 4.037961959838867188e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.094908237457275391e+00 4.084264161065220833e-03 1.959999999999999849e-09 1.434999999999999964e+01 1.509999999999999964e+01
2.183054089546203613e+01 5.000000000000000000e+00 1.003030776977539062e+02 2.124514579772949219e+01 3.030657768249511719e+01 1.050964355468750000e+02 2.009312152862548828e+00 6.058404445648193359e+00 4.038618564605712891e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.098848104476928711e+00 4.346922098193317652e-03 1.959999999999999849e-09 1.444999999999999929e+01 1.509999999999999964e+01
2.434210395812988281e+01 6.000000000000000000e+00 1.004015445709228516e+02 2.124514579772949219e+01 3.017525672912597656e+01 1.049979686737060547e+02 2.009968757629394531e+00 6.059061050415039062e+00 4.035992145538330078e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.099668979644775391e+00 4.215688502881675959e-03 1.959999999999999849e-09 1.455000000000000071e+01 1.509999999999999964e+01
2.686964607238769531e+01 7.000000000000000000e+00 1.003687381744384766e+02 2.108097076416015625e+01 3.017525672912597656e+01 1.050307750701904297e+02 2.009640216827392578e+00 6.059717655181884766e+00 4.035007476806640625e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.086700439453125000e+00 5.003662314265966415e-03 1.970000000000000021e-09 1.465000000000000036e+01 1.509999999999999964e+01
2.940225267410278320e+01 8.000000000000000000e+00 1.003687381744384766e+02 2.117948532104492188e+01 3.033943176269531250e+01 1.050636291503906250e+02 2.010625362396240234e+00 6.059717655181884766e+00 4.037305355072021484e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.092938423156738281e+00 4.478346440009772778e-03 1.959999999999999849e-09 1.475000000000000000e+01 1.509999999999999964e+01
3.188378190994262695e+01 9.000000000000000000e+00 1.002702236175537109e+02 2.121229171752929688e+01 3.037223815917968750e+01 1.050636291503906250e+02 2.013251781463623047e+00 6.058732509613037109e+00 4.034678936004638672e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.093759298324584961e+00 4.084264161065220833e-03 1.959999999999999849e-09 1.484999999999999964e+01 1.509999999999999964e+01
3.441133904457092285e+01 1.000000000000000000e+01 1.003687381744384766e+02 2.121229171752929688e+01 3.033943176269531250e+01 1.050636291503906250e+02 2.013908386230468750e+00 6.059717655181884766e+00 4.034350872039794922e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.105414390563964844e+00 4.346922098193317652e-03 1.959999999999999849e-09 1.494999999999999929e+01 1.509999999999999964e+01
3.689193463325500488e+01 1.100000000000000000e+01 1.003030776977539062e+02 2.121229171752929688e+01 3.020811080932617188e+01 1.050964355468750000e+02 2.016206741333007812e+00 6.058075904846191406e+00 4.034678936004638672e+00 9.999999999999999547e-07 5.613803863525390625e-03 4.092117786407470703e+00 4.084264161065220833e-03 1.959999999999999849e-09 1.505000000000000071e+01 1.509999999999999964e+01
3.942149043083190918e+01 1.200000000000000000e+01 1.003358840942382812e+02 2.117948532104492188e+01 3.027377128601074219e+01 1.050307750701904297e+02 2.015878200531005859e+00 6.061687469482421875e+00 4.032052516937255859e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.098027229309082031e+00 4.609580035321414471e-03 1.959999999999999849e-09 1.515000000000000036e+01 1.509999999999999964e+01
4.196403694152832031e+01 1.300000000000000000e+01 1.003687381744384766e+02 2.131080627441406250e+01 3.027377128601074219e+01 1.050636291503906250e+02 2.015221595764160156e+00 6.059061050415039062e+00 4.033037185668945312e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.098683834075927734e+00 4.346922098193317652e-03 1.959999999999999849e-09 1.525000000000000000e+01 1.509999999999999964e+01
4.450157260894775391e+01 1.400000000000000000e+01 1.003030776977539062e+02 2.117948532104492188e+01 3.030657768249511719e+01 1.049651145935058594e+02 2.015878200531005859e+00 6.057419300079345703e+00 4.033037185668945312e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.097042322158813477e+00 4.741004377137869596e-03 1.959999999999999849e-09 1.534999999999999964e+01 1.509999999999999964e+01
4.702115774154663086e+01 1.500000000000000000e+01 1.004015445709228516e+02 2.137646675109863281e+01 3.024091720581054688e+01 1.050636291503906250e+02 2.015550136566162109e+00 6.059389114379882812e+00 4.031395912170410156e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.096057415008544922e+00 4.741004377137869596e-03 1.959999999999999849e-09 1.544999999999999929e+01 1.509999999999999964e+01
5.242006349563598633e+01 1.600000000000000000e+01 1.003358840942382812e+02 2.121229171752929688e+01 3.020811080932617188e+01 1.050964355468750000e+02 2.015221595764160156e+00 6.059717655181884766e+00 4.034022331237792969e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.093266725540161133e+00 3.953030565753579140e-03 1.980000000000000194e-09 1.375000000000000000e+01 1.519999999999999929e+01
5.492561697959899902e+01 1.700000000000000000e+01 1.003030776977539062e+02 2.121229171752929688e+01 3.027377128601074219e+01 1.050307750701904297e+02 2.015221595764160156e+00 6.056106090545654297e+00 4.033365726470947266e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.097863197326660156e+00 3.821606223937124014e-03 1.980000000000000194e-09 1.384999999999999964e+01 1.519999999999999929e+01
5.743220233917236328e+01 1.800000000000000000e+01 1.003030776977539062e+02 2.111382484436035156e+01 3.037223815917968750e+01 1.050636291503906250e+02 2.015550136566162109e+00 6.057747840881347656e+00 4.031395912170410156e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.097863197326660156e+00 3.821606223937124014e-03 1.980000000000000194e-09 1.394999999999999929e+01 1.519999999999999929e+01
5.995674180984497070e+01 1.900000000000000000e+01 1.003358840942382812e+02 2.121229171752929688e+01 3.010959625244140625e+01 1.050636291503906250e+02 2.016206741333007812e+00 6.058732509613037109e+00 4.031067371368408203e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.099997282028198242e+00 4.346922098193317652e-03 1.980000000000000194e-09 1.405000000000000071e+01 1.519999999999999929e+01
6.249830555915832520e+01 2.000000000000000000e+01 1.003030776977539062e+02 2.127795219421386719e+01 3.033943176269531250e+01 1.049651145935058594e+02 2.016534805297851562e+00 6.060374259948730469e+00 4.030739307403564453e+00 9.999999999999999547e-07 4.957199096679687500e-03 4.099997282028198242e+00 3.953030565753579140e-03 1.970000000000000021e-09 1.415000000000000036e+01 1.519999999999999929e+01
