# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 15
# y_centre = 18.25
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.886035442352294922e+00 0.000000000000000000e+00 1.002374172210693359e+02 2.114663124084472656e+01 3.020811080932617188e+01 1.059172153472900391e+02 2.298521995544433594e-01 6.226829528808593750e+00 5.620105743408203125e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.626076459884643555e+00 4.872237972449511290e-03 4.680000000000000382e-10 1.500000000000000000e+01 1.525000000000000000e+01
1.168827033042907715e+01 1.000000000000000000e+00 1.002045631408691406e+02 2.111382484436035156e+01 3.004393577575683594e+01 1.059172153472900391e+02 2.321500778198242188e-01 6.230440616607666016e+00 5.621747016906738281e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.626897335052490234e+00 3.165056754369288683e-03 4.670000000000000417e-10 1.430000000000000071e+01 1.534999999999999964e+01
1.421982765197753906e+01 2.000000000000000000e+00 1.003030776977539062e+02 2.124514579772949219e+01 3.017525672912597656e+01 1.059172153472900391e+02 2.318220138549804688e-01 6.229784011840820312e+00 5.619777202606201172e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.624106645584106445e+00 3.690372628625482321e-03 4.660000000000000452e-10 1.440000000000000036e+01 1.534999999999999964e+01
1.675240612030029297e+01 3.000000000000000000e+00 1.002374172210693359e+02 2.111382484436035156e+01 3.027377128601074219e+01 1.058844089508056641e+02 2.308368682861328125e-01 6.247513294219970703e+00 5.620762348175048828e+00 9.999999999999999547e-07 2.330780029296875000e-03 3.628702878952026367e+00 4.215688502881675959e-03 4.670000000000000417e-10 1.450000000000000000e+01 1.534999999999999964e+01
1.925996518135070801e+01 4.000000000000000000e+00 1.002702236175537109e+02 2.104816436767578125e+01 3.017525672912597656e+01 1.059172153472900391e+02 2.301802635192871094e-01 6.231425762176513672e+00 5.620762348175048828e+00 9.999999999999999547e-07 3.972053527832031250e-03 3.619838476181030273e+00 4.084264161065220833e-03 4.660000000000000452e-10 1.459999999999999964e+01 1.534999999999999964e+01
2.173750138282775879e+01 5.000000000000000000e+00 1.002374172210693359e+02 2.108097076416015625e+01 3.020811080932617188e+01 1.059172153472900391e+02 2.291951179504394531e-01 6.230440616607666016e+00 5.622732162475585938e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.620166778564453125e+00 4.872237972449511290e-03 4.649999999999999969e-10 1.469999999999999929e+01 1.534999999999999964e+01
2.423106646537780762e+01 6.000000000000000000e+00 1.002702236175537109e+02 2.101531028747558594e+01 3.024091720581054688e+01 1.058844089508056641e+02 2.295236587524414062e-01 6.235037326812744141e+00 5.623717308044433594e+00 0.000000000000000000e+00 2.658843994140625000e-03 3.623450040817260742e+00 5.003662314265966415e-03 4.640000000000000004e-10 1.480000000000000071e+01 1.534999999999999964e+01
2.674165606498718262e+01 7.000000000000000000e+00 1.003030776977539062e+02 2.108097076416015625e+01 3.014245033264160156e+01 1.059828758239746094e+02 2.288670539855957031e-01 6.233724117279052734e+00 5.623060703277587891e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.628046274185180664e+00 5.528978188522160053e-03 4.680000000000000382e-10 1.490000000000000036e+01 1.534999999999999964e+01
2.925217723846435547e+01 8.000000000000000000e+00 1.003030776977539062e+02 2.111382484436035156e+01 3.014245033264160156e+01 1.059172153472900391e+02 2.288670539855957031e-01 6.232082366943359375e+00 5.621418952941894531e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.623450040817260742e+00 5.134895909577608109e-03 4.690000000000000348e-10 1.500000000000000000e+01 1.534999999999999964e+01
3.173174715042114258e+01 9.000000000000000000e+00 1.002374172210693359e+02 2.114663124084472656e+01 3.024091720581054688e+01 1.058515548706054688e+02 2.278819084167480469e-01 6.231425762176513672e+00 5.622403621673583984e+00 0.000000000000000000e+00 4.628658294677734375e-03 3.626733064651489258e+00 5.266320251394063234e-03 4.680000000000000382e-10 1.509999999999999964e+01 1.534999999999999964e+01
