# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
4.872215986251831055e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.111382484436035156e+01 3.014245033264160156e+01 1.049323081970214844e+02 6.888346672058105469e-01 6.107979774475097656e+00 5.299343109130859375e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.747224092483520508e+00 3.033632412552833557e-03 9.009999999999999906e-10 1.475000000000000000e+01 1.500000000000000000e+01
9.718850851058959961e+00 1.000000000000000000e+00 1.002374172210693359e+02 2.114663124084472656e+01 3.017525672912597656e+01 1.048994541168212891e+02 6.904759407043457031e-01 6.109621524810791016e+00 5.300328254699707031e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.746403455734252930e+00 2.376892196480184793e-03 9.200000000000000283e-10 1.405000000000000071e+01 1.509999999999999964e+01
1.234278202056884766e+01 2.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.017525672912597656e+01 1.049323081970214844e+02 6.898193359375000000e-01 6.115859508514404297e+00 5.300328254699707031e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.754118680953979492e+00 2.508316538296639919e-03 9.039999999999999802e-10 1.415000000000000036e+01 1.509999999999999964e+01
1.487633347511291504e+01 3.000000000000000000e+00 1.002374172210693359e+02 2.111382484436035156e+01 3.027377128601074219e+01 1.049323081970214844e+02 6.904759407043457031e-01 6.108307838439941406e+00 5.300656318664550781e+00 9.999999999999999547e-07 3.643989562988281250e-03 3.751656293869018555e+00 2.508316538296639919e-03 9.260000000000000076e-10 1.425000000000000000e+01 1.509999999999999964e+01
2.394831347465515137e+01 4.000000000000000000e+00 1.004015445709228516e+02 2.117948532104492188e+01 3.017525672912597656e+01 1.049323081970214844e+02 6.921176910400390625e-01 6.106994628906250000e+00 5.298686504364013672e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.742956161499023438e+00 2.902208070736378431e-03 9.230000000000000180e-10 1.434999999999999964e+01 1.509999999999999964e+01
3.153199434280395508e+01 5.000000000000000000e+00 1.003030776977539062e+02 2.098250389099121094e+01 3.037223815917968750e+01 1.049651145935058594e+02 6.908044815063476562e-01 6.107651233673095703e+00 5.299671649932861328e+00 9.999999999999999547e-07 3.643989562988281250e-03 3.737538814544677734e+00 2.508316538296639919e-03 9.099999999999999595e-10 1.444999999999999929e+01 1.509999999999999964e+01
3.407552719116210938e+01 6.000000000000000000e+00 1.002702236175537109e+02 2.111382484436035156e+01 3.033943176269531250e+01 1.049979686737060547e+02 6.898193359375000000e-01 6.108636379241943359e+00 5.298686504364013672e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.749194145202636719e+00 2.770974475424736738e-03 9.240000000000000145e-10 1.455000000000000071e+01 1.509999999999999964e+01
3.660907959938049316e+01 7.000000000000000000e+00 1.002374172210693359e+02 2.121229171752929688e+01 3.014245033264160156e+01 1.048994541168212891e+02 6.888346672058105469e-01 6.110278129577636719e+00 5.298358440399169922e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.749686479568481445e+00 2.902208070736378431e-03 9.240000000000000145e-10 1.465000000000000036e+01 1.509999999999999964e+01
3.914264631271362305e+01 8.000000000000000000e+00 1.002702236175537109e+02 2.111382484436035156e+01 3.010959625244140625e+01 1.049651145935058594e+02 6.901478767395019531e-01 6.108307838439941406e+00 5.299015045166015625e+00 9.999999999999999547e-07 3.972053527832031250e-03 3.746403455734252930e+00 3.165056754369288683e-03 9.069999999999999698e-10 1.475000000000000000e+01 1.509999999999999964e+01
4.166920232772827148e+01 9.000000000000000000e+00 1.003030776977539062e+02 2.108097076416015625e+01 3.014245033264160156e+01 1.049323081970214844e+02 6.888346672058105469e-01 6.109949588775634766e+00 5.299015045166015625e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.762983322143554688e+00 3.296290349680930376e-03 9.009999999999999906e-10 1.484999999999999964e+01 1.509999999999999964e+01
