# Solenoid scan data
# r_max = 2.1
# point_spacing = 0.05
# x_centre = 22.55
# y_centre = 17.5
# wait_time = 1.5
# N_points = 1370
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
7.881532430648803711e+00 0.000000000000000000e+00 1.003687381744384766e+02 2.134361267089843750e+01 3.017525672912597656e+01 8.996119499206542969e+01 7.407078742980957031e-01 6.264913558959960938e+00 5.056391239166259766e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.869849443435668945e+00 3.744296665536239743e-02 9.920000000000000899e-10 2.255000000000000071e+01 1.540000000000000036e+01
1.266376495361328125e+01 1.000000000000000000e+00 1.002702236175537109e+02 2.114663124084472656e+01 3.024091720581054688e+01 8.999400138854980469e+01 7.449760437011718750e-01 6.262287139892578125e+00 5.057375907897949219e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.878385543823242188e+00 3.442230500513687730e-02 9.799999999999999246e-10 2.194999999999999929e+01 1.550000000000000000e+01
1.527926945686340332e+01 2.000000000000000000e+00 1.003358840942382812e+02 2.114663124084472656e+01 3.020811080932617188e+01 8.989553451538085938e+01 7.430062294006347656e-01 6.269181728363037109e+00 5.058361053466796875e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.868535995483398438e+00 3.455372934695333242e-02 9.710000000000000590e-10 2.205000000000000071e+01 1.550000000000000000e+01
1.786578655242919922e+01 3.000000000000000000e+00 1.004343986511230469e+02 2.121229171752929688e+01 3.020811080932617188e+01 9.002685546875000000e+01 7.426776885986328125e-01 6.266555309295654297e+00 5.054749488830566406e+00 9.999999999999999547e-07 4.957199096679687500e-03 3.871983289718627930e+00 3.809970687143504620e-02 9.839999999999999107e-10 2.214999999999999858e+01 1.550000000000000000e+01
2.049327564239501953e+01 4.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.010959625244140625e+01 8.992834091186523438e+01 7.410364151000976562e-01 6.266883373260498047e+00 5.062300682067871094e+00 0.000000000000000000e+00 5.285263061523437500e-03 3.868535995483398438e+00 3.770562459249049425e-02 9.790000000000000314e-10 2.225000000000000000e+01 1.550000000000000000e+01
2.308181023597717285e+01 5.000000000000000000e+00 1.003358840942382812e+02 2.117948532104492188e+01 3.030657768249511719e+01 8.999400138854980469e+01 7.407078742980957031e-01 6.267211914062500000e+00 5.057704448699951172e+00 0.000000000000000000e+00 2.658843994140625000e-03 3.872804164886474609e+00 3.626091056503355503e-02 9.770000000000000383e-10 2.235000000000000142e+01 1.550000000000000000e+01
2.569731187820434570e+01 6.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.017525672912597656e+01 8.996119499206542969e+01 7.423496246337890625e-01 6.268525123596191406e+00 5.056391239166259766e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.876251459121704102e+00 3.678641718579456210e-02 9.719999999999999522e-10 2.244999999999999929e+01 1.550000000000000000e+01
2.827083230018615723e+01 7.000000000000000000e+00 1.003687381744384766e+02 2.127795219421386719e+01 3.030657768249511719e+01 9.005966186523437500e+01 7.433347702026367188e-01 6.264256954193115234e+00 5.057704448699951172e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.877072334289550781e+00 3.954442089889198542e-02 9.739999999999999453e-10 2.255000000000000071e+01 1.550000000000000000e+01
3.088433814048767090e+01 8.000000000000000000e+00 1.002702236175537109e+02 2.124514579772949219e+01 3.017525672912597656e+01 8.992834091186523438e+01 7.423496246337890625e-01 6.262943744659423828e+00 5.058689117431640625e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.872147560119628906e+00 3.573559469077736139e-02 9.839999999999999107e-10 2.265000000000000213e+01 1.550000000000000000e+01
3.347385931015014648e+01 9.000000000000000000e+00 1.004015445709228516e+02 2.124514579772949219e+01 3.017525672912597656e+01 9.002685546875000000e+01 7.466177940368652344e-01 6.266226768493652344e+00 5.056391239166259766e+00 0.000000000000000000e+00 4.300594329833984375e-03 3.878221273422241211e+00 3.245227510342374444e-02 9.759999999999999384e-10 2.275000000000000000e+01 1.550000000000000000e+01
3.599441838264465332e+01 1.000000000000000000e+01 1.003358840942382812e+02 2.104816436767578125e+01 3.024091720581054688e+01 8.999400138854980469e+01 7.502293586730957031e-01 6.270823478698730469e+00 5.057704448699951172e+00 0.000000000000000000e+00 5.613803863525390625e-03 3.870013475418090820e+00 3.100775182247161865e-02 9.710000000000000590e-10 2.285000000000000142e+01 1.550000000000000000e+01
3.852597212791442871e+01 1.100000000000000000e+01 1.003030776977539062e+02 2.124514579772949219e+01 3.027377128601074219e+01 9.002685546875000000e+01 7.492442131042480469e-01 6.268197059631347656e+00 5.055406093597412109e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.874773979187011719e+00 2.864363964181393385e-02 9.679999999999999660e-10 2.294999999999999929e+01 1.550000000000000000e+01
4.103653812408447266e+01 1.200000000000000000e+01 1.003687381744384766e+02 2.124514579772949219e+01 3.010959625244140625e+01 8.999400138854980469e+01 7.512140274047851562e-01 6.267211914062500000e+00 5.055734634399414062e+00 0.000000000000000000e+00 3.972053527832031250e-03 3.879862785339355469e+00 2.562297799158841372e-02 9.759999999999999384e-10 2.305000000000000071e+01 1.550000000000000000e+01
4.354410529136657715e+01 1.300000000000000000e+01 1.003687381744384766e+02 2.127795219421386719e+01 3.024091720581054688e+01 8.999400138854980469e+01 7.528557777404785156e-01 6.270823478698730469e+00 5.056719303131103516e+00 0.000000000000000000e+00 4.628658294677734375e-03 3.878221273422241211e+00 2.614829386584460735e-02 9.739999999999999453e-10 2.315000000000000213e+01 1.550000000000000000e+01
4.874114680290222168e+01 1.400000000000000000e+01 1.003687381744384766e+02 2.114663124084472656e+01 3.024091720581054688e+01 8.999400138854980469e+01 7.469458580017089844e-01 6.268525123596191406e+00 5.056391239166259766e+00 0.000000000000000000e+00 4.957199096679687500e-03 3.877400636672973633e+00 3.061366954352706671e-02 9.679999999999999660e-10 2.175000000000000000e+01 1.559999999999999964e+01
5.125671195983886719e+01 1.500000000000000000e+01 1.003030776977539062e+02 2.137646675109863281e+01 3.007678985595703125e+01 8.999400138854980469e+01 7.453045845031738281e-01 6.280015945434570312e+00 5.056719303131103516e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.870506048202514648e+00 3.284635738236829638e-02 9.799999999999999246e-10 2.185000000000000142e+01 1.559999999999999964e+01
5.372528839111328125e+01 1.600000000000000000e+01 1.003358840942382812e+02 2.121229171752929688e+01 3.010959625244140625e+01 9.002685546875000000e+01 7.430062294006347656e-01 6.265898704528808594e+00 5.058032512664794922e+00 0.000000000000000000e+00 2.002239227294921875e-03 3.874609947204589844e+00 3.337167325662449002e-02 9.739999999999999453e-10 2.194999999999999929e+01 1.559999999999999964e+01
5.622785854339599609e+01 1.700000000000000000e+01 1.003358840942382812e+02 2.121229171752929688e+01 3.024091720581054688e+01 8.999400138854980469e+01 7.403798103332519531e-01 6.278374671936035156e+00 5.058361053466796875e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.880355358123779297e+00 3.521027881652116776e-02 9.759999999999999384e-10 2.205000000000000071e+01 1.559999999999999964e+01
5.873342657089233398e+01 1.800000000000000000e+01 1.002702236175537109e+02 2.117948532104492188e+01 3.024091720581054688e+01 8.992834091186523438e+01 7.384099960327148438e-01 6.265898704528808594e+00 5.058689117431640625e+00 0.000000000000000000e+00 2.330780029296875000e-03 3.866073608398437500e+00 3.836236480856314301e-02 9.710000000000000590e-10 2.214999999999999858e+01 1.559999999999999964e+01
6.121302342414855957e+01 1.900000000000000000e+01 1.003358840942382812e+02 2.117948532104492188e+01 3.017525672912597656e+01 8.992834091186523438e+01 7.403798103332519531e-01 6.265242099761962891e+00 5.057047843933105469e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.873296737670898438e+00 3.744296665536239743e-02 9.679999999999999660e-10 2.225000000000000000e+01 1.559999999999999964e+01
6.369261097908020020e+01 2.000000000000000000e+01 1.002374172210693359e+02 2.114663124084472656e+01 3.037223815917968750e+01 8.999400138854980469e+01 7.390666007995605469e-01 6.266226768493652344e+00 5.057047843933105469e+00 0.000000000000000000e+00 4.957199096679687500e-03 3.877236366271972656e+00 3.678641718579456210e-02 9.730000000000000521e-10 2.235000000000000142e+01 1.559999999999999964e+01
6.620717167854309082e+01 2.100000000000000000e+01 1.002374172210693359e+02 2.121229171752929688e+01 3.027377128601074219e+01 8.996119499206542969e+01 7.377533912658691406e-01 6.274434566497802734e+00 5.060659408569335938e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.879534482955932617e+00 3.665499284397810698e-02 9.679999999999999660e-10 2.244999999999999929e+01 1.559999999999999964e+01
6.875471544265747070e+01 2.200000000000000000e+01 1.003358840942382812e+02 2.114663124084472656e+01 3.033943176269531250e+01 8.999400138854980469e+01 7.377533912658691406e-01 6.266555309295654297e+00 5.059017658233642578e+00 9.999999999999999547e-07 4.300594329833984375e-03 3.874773979187011719e+00 3.363433119375258684e-02 9.710000000000000590e-10 2.255000000000000071e+01 1.559999999999999964e+01
7.129326057434082031e+01 2.300000000000000000e+01 1.004015445709228516e+02 2.124514579772949219e+01 3.020811080932617188e+01 9.005966186523437500e+01 7.397232055664062500e-01 6.271808147430419922e+00 5.057375907897949219e+00 0.000000000000000000e+00 5.941867828369140625e-03 3.877892971038818359e+00 3.048224520171061158e-02 9.619999999999999867e-10 2.265000000000000213e+01 1.559999999999999964e+01
7.382281780242919922e+01 2.400000000000000000e+01 1.003358840942382812e+02 2.104816436767578125e+01 3.017525672912597656e+01 9.005966186523437500e+01 7.462892532348632812e-01 6.268525123596191406e+00 5.057704448699951172e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.881176233291625977e+00 2.930037985788658261e-02 9.759999999999999384e-10 2.275000000000000000e+01 1.559999999999999964e+01
7.636040711402893066e+01 2.500000000000000000e+01 1.001717567443847656e+02 2.108097076416015625e+01 3.007678985595703125e+01 8.989553451538085938e+01 7.374248504638671875e-01 6.278374671936035156e+00 5.059017658233642578e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.880355358123779297e+00 2.023839490721002221e-02 9.719999999999999522e-10 2.285000000000000142e+01 1.559999999999999964e+01
7.889092278480529785e+01 2.600000000000000000e+01 1.003030776977539062e+02 2.137646675109863281e+01 3.017525672912597656e+01 9.009251594543457031e+01 7.423496246337890625e-01 6.273777961730957031e+00 5.060659408569335938e+00 0.000000000000000000e+00 4.628658294677734375e-03 3.874609947204589844e+00 2.641095180297270417e-02 9.750000000000000452e-10 2.294999999999999929e+01 1.559999999999999964e+01
8.142746067047119141e+01 2.700000000000000000e+01 1.002374172210693359e+02 2.117948532104492188e+01 3.024091720581054688e+01 8.996119499206542969e+01 7.407078742980957031e-01 6.277718067169189453e+00 5.057047843933105469e+00 0.000000000000000000e+00 4.300594329833984375e-03 3.874117374420166016e+00 2.325905655743554235e-02 9.659999999999999729e-10 2.305000000000000071e+01 1.559999999999999964e+01
8.396700882911682129e+01 2.800000000000000000e+01 1.003358840942382812e+02 2.114663124084472656e+01 3.007678985595703125e+01 9.002685546875000000e+01 7.407078742980957031e-01 6.275748252868652344e+00 5.061644077301025391e+00 -9.999999999999999547e-07 3.972053527832031250e-03 3.876744031906127930e+00 2.168291818816214800e-02 9.670000000000000728e-10 2.315000000000000213e+01 1.559999999999999964e+01
